,Indicator,Year,Indicator_value,Ticker
116,totalCurrentLiabilities,2018,58488000000,MSFT
117,longTermDebt,2018,72242000000,MSFT
118,deferredRevenueNonCurrent,2018,3815000000,MSFT
119,deferredTaxLiabilitiesNonCurrent,2018,541000000,MSFT
120,otherNonCurrentLiabilities,2018,5211000000,MSFT
121,totalNonCurrentLiabilities,2018,117642000000,MSFT
122,otherLiabilities,2018,0.0,MSFT
123,totalLiabilities,2018,176130000000,MSFT
124,commonStock,2018,71223000000,MSFT
125,retainedEarnings,2018,13682000000,MSFT
126,accumulatedOtherComprehensiveIncomeLoss,2018,-2187000000,MSFT
127,othertotalStockholdersEquity,2018,0.0,MSFT
128,totalStockholdersEquity,2018,82718000000,MSFT
129,totalLiabilitiesAndStockholdersEquity,2018,258848000000,MSFT
130,totalInvestments,2018,123684000000,MSFT
131,totalDebt,2018,76240000000,MSFT
132,netDebt,2018,64294000000,MSFT
139,cashAndCashEquivalents,2019,11356000000,MSFT
140,shortTermInvestments,2019,122463000000,MSFT
141,cashAndShortTermInvestments,2019,133819000000,MSFT
142,netReceivables,2019,29524000000,MSFT
143,inventory,2019,2063000000,MSFT
144,otherCurrentAssets,2019,10146000000,MSFT
145,totalCurrentAssets,2019,175552000000,MSFT
146,propertyPlantEquipmentNet,2019,36477000000,MSFT
147,goodwill,2019,42026000000,MSFT
148,intangibleAssets,2019,7750000000,MSFT
149,goodwillAndIntangibleAssets,2019,49776000000,MSFT
150,longTermInvestments,2019,2649000000,MSFT
151,taxAssets,2019,0.0,MSFT
152,otherNonCurrentAssets,2019,14723000000,MSFT
153,totalNonCurrentAssets,2019,111004000000,MSFT
154,otherAssets,2019,0.0,MSFT
155,totalAssets,2019,286556000000,MSFT
156,accountPayables,2019,9382000000,MSFT
157,shortTermDebt,2019,5516000000,MSFT
158,taxPayables,2019,0.0,MSFT
159,deferredRevenue,2019,32676000000,MSFT
160,otherCurrentLiabilities,2019,9351000000,MSFT
161,totalCurrentLiabilities,2019,69420000000,MSFT
162,longTermDebt,2019,66662000000,MSFT
163,deferredRevenueNonCurrent,2019,4530000000,MSFT
164,deferredTaxLiabilitiesNonCurrent,2019,233000000,MSFT
165,otherNonCurrentLiabilities,2019,7581000000,MSFT
166,totalNonCurrentLiabilities,2019,114806000000,MSFT
167,otherLiabilities,2019,0.0,MSFT
168,totalLiabilities,2019,184226000000,MSFT
169,commonStock,2019,78520000000,MSFT
170,retainedEarnings,2019,24150000000,MSFT
171,accumulatedOtherComprehensiveIncomeLoss,2019,-340000000,MSFT
172,othertotalStockholdersEquity,2019,0.0,MSFT
173,totalStockholdersEquity,2019,102330000000,MSFT
174,totalLiabilitiesAndStockholdersEquity,2019,286556000000,MSFT
175,totalInvestments,2019,125112000000,MSFT
176,totalDebt,2019,72178000000,MSFT
177,netDebt,2019,60822000000,MSFT
184,cashAndCashEquivalents,2020,13576000000,MSFT
185,shortTermInvestments,2020,122951000000,MSFT
186,cashAndShortTermInvestments,2020,136527000000,MSFT
187,netReceivables,2020,32011000000,MSFT
188,inventory,2020,1895000000,MSFT
189,otherCurrentAssets,2020,11482000000,MSFT
190,totalCurrentAssets,2020,181915000000,MSFT
191,propertyPlantEquipmentNet,2020,52904000000,MSFT
192,goodwill,2020,43351000000,MSFT
193,intangibleAssets,2020,7038000000,MSFT
194,goodwillAndIntangibleAssets,2020,50389000000,MSFT
195,longTermInvestments,2020,2965000000,MSFT
196,taxAssets,2020,0.0,MSFT
197,otherNonCurrentAssets,2020,13138000000,MSFT
198,totalNonCurrentAssets,2020,119396000000,MSFT
199,otherAssets,2020,0.0,MSFT
200,totalAssets,2020,301311000000,MSFT
201,accountPayables,2020,12530000000,MSFT
202,shortTermDebt,2020,3749000000,MSFT
203,taxPayables,2020,0.0,MSFT
204,deferredRevenue,2020,36000000000,MSFT
205,otherCurrentLiabilities,2020,10027000000,MSFT
206,totalCurrentLiabilities,2020,72310000000,MSFT
207,longTermDebt,2020,59578000000,MSFT
208,deferredRevenueNonCurrent,2020,3180000000,MSFT
209,deferredTaxLiabilitiesNonCurrent,2020,204000000,MSFT
210,otherNonCurrentLiabilities,2020,10632000000,MSFT
211,totalNonCurrentLiabilities,2020,110697000000,MSFT
212,otherLiabilities,2020,0.0,MSFT
213,totalLiabilities,2020,183007000000,MSFT
214,commonStock,2020,80552000000,MSFT
215,retainedEarnings,2020,34566000000,MSFT
216,accumulatedOtherComprehensiveIncomeLoss,2020,3186000000,MSFT
217,othertotalStockholdersEquity,2020,0.0,MSFT
218,totalStockholdersEquity,2020,118304000000,MSFT
219,totalLiabilitiesAndStockholdersEquity,2020,301311000000,MSFT
220,totalInvestments,2020,125916000000,MSFT
221,totalDebt,2020,63327000000,MSFT
222,netDebt,2020,49751000000,MSFT
